Start,End,Regularity,Steps,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Snore time,Sleep Quality
23.50.00,07.54.00,82,3240,53.4,29015.9,27081.5,193.4,06.30.00,06.30.00,242.0,81
00.25.00,07.37.00,84,7252,46.6,25974.2,22251.2,173.2,06.30.00,06.30.00,0.0,77
22.15.00,06.33.00,81,6679,61.5,29884.8,28789.0,199.2,05.50.00,05.50.00,0.0,76
22.23.00,06.00.00,87,1095,39.9,27443.1,26436.9,1006.2,05.50.00,05.50.00,0.0,87
22.30.00,06.20.00,88,5268,44.4,28172.3,26575.9,187.8,05.50.00,05.50.00,0.0,85
21.43.00,05.50.00,93,5385,42.0,29209.3,25120.0,194.7,05.50.00,05.50.00,0.0,90
23.07.00,06.10.00,90,6441,56.4,25371.4,23426.3,169.1,05.50.00,05.50.00,0.0,68
23.25.00,06.57.00,89,10110,38.6,27100.1,22402.8,2168.0,05.50.00,05.50.00,0.0,86
21.41.00,07.53.00,85,1177,54.5,36709.5,31692.5,244.7,05.50.00,05.50.00,736.0,88
22.03.00,06.10.00,84,9383,71.0,29258.1,22431.2,195.1,05.50.00,05.50.00,0.0,66
22.37.00,05.40.00,84,4934,60.5,25411.6,22531.6,169.4,05.45.00,05.45.00,1523.0,65
22.21.00,06.30.00,88,10232,47.9,29327.3,26394.6,195.5,06.30.00,06.30.00,0.0,86
23.33.00,05.50.00,89,12379,38.9,22622.4,19983.1,2036.0,05.45.00,05.45.00,0.0,72
22.36.00,04.51.00,86,7004,43.5,22515.2,21389.4,150.1,04.45.00,04.45.00,0.0,69
22.06.00,06.39.00,0,497,72.3,30790.3,24940.2,205.3,06.30.00,06.30.00,677.0,69
22.16.00,06.00.00,93,7203,73.9,27808.7,25769.4,185.4,05.20.00,05.50.00,0.0,62
22.33.00,06.01.00,95,4547,63.0,26854.1,22288.9,179.0,05.50.00,05.50.00,756.0,68
22.29.00,06.00.00,97,3733,60.4,27090.8,24020.5,180.6,05.50.00,05.50.00,0.0,71
23.43.00,07.52.00,90,7485,47.9,29313.2,26479.6,195.4,05.50.00,05.50.00,0.0,87
01.40.00,07.35.00,85,6540,39.7,21278.6,21136.8,141.9,07.00.00,07.30.00,0.0,68
22.44.00,06.31.00,74,20781,71.9,28013.7,25585.8,186.8,05.30.00,06.00.00,89.0,65
23.02.00,05.35.00,78,2493,45.9,23576.4,21061.6,157.2,05.45.00,05.45.00,0.0,71
20.30.00,04.56.00,82,1817,51.9,30402.3,27767.4,202.7,04.00.00,04.00.00,919.0,87
20.32.00,04.31.00,85,9034,36.6,28710.4,25360.8,191.4,04.00.00,04.00.00,440.0,94
20.26.00,04.46.00,97,4083,54.6,29974.9,24879.2,2098.2,04.30.00,04.30.00,0.0,83
20.07.00,04.09.00,95,10803,30.6,28935.2,27681.3,192.9,04.30.00,04.30.00,0.0,99
19.25.00,01.05.00,86,5241,60.4,20426.8,17226.6,136.2,01.10.00,01.10.00,0.0,53
21.45.00,05.57.00,67,7143,86.5,29548.9,27382.0,197.0,05.50.00,05.50.00,2117.0,58
22.12.00,06.00.00,68,4203,55.6,28106.8,22766.5,187.4,05.50.00,05.50.00,63.0,78
23.34.00,07.28.00,71,603,45.4,28423.8,24918.2,189.5,07.00.00,07.00.00,107.0,86
00.32.00,08.22.00,80,1784,42.3,28181.0,27993.2,187.9,07.00.00,07.00.00,0.0,88
22.58.00,06.10.00,76,10156,55.2,25895.5,21665.9,1294.8,05.50.00,05.50.00,0.0,72
21.20.00,05.55.00,76,4257,57.5,30902.0,27914.8,206.0,05.45.00,05.45.00,0.0,84
22.27.00,06.05.00,81,4041,86.9,27499.4,24474.5,183.3,05.45.00,05.45.00,2030.0,54
22.34.00,06.08.00,91,4935,31.5,27262.4,25626.7,181.7,05.45.00,05.45.00,0.0,92
22.28.00,04.56.00,89,3285,53.4,23285.4,19249.3,155.2,05.00.00,05.00.00,0.0,66
21.44.00,06.10.00,84,8026,51.4,30343.5,28017.2,202.3,05.45.00,05.45.00,0.0,87
22.55.00,06.06.00,87,8556,54.6,25813.0,22973.6,172.1,05.45.00,05.45.00,0.0,72
22.58.00,06.06.00,91,5046,36.3,25696.6,25011.4,171.3,05.45.00,05.45.00,0.0,84
22.31.00,06.11.00,95,241,49.9,27628.7,23944.9,184.2,05.45.00,05.45.00,0.0,80
23.24.00,07.41.00,92,4256,32.5,29844.2,27954.0,199.0,07.00.00,07.00.00,0.0,100
00.36.00,08.45.00,81,6618,45.0,29370.5,28489.4,195.8,08.00.00,08.00.00,104.0,89
23.02.00,06.12.00,66,2169,39.2,25807.0,22366.1,1118.3,05.50.00,05.50.00,294.0,82
23.11.00,06.20.00,82,7872,48.5,25740.3,21793.4,1287.0,05.50.00,05.50.00,168.0,75
23.36.00,06.21.00,87,6248,37.1,24276.4,22010.6,161.8,05.50.00,05.50.00,0.0,78
22.40.00,06.26.00,95,5069,50.3,27940.4,24121.9,186.3,05.50.00,05.50.00,0.0,80
22.45.00,08.35.00,90,3889,26.5,35417.0,35180.8,236.1,05.50.00,05.50.00,0.0,100
23.24.00,07.32.00,86,2217,37.7,29313.7,26186.9,1074.8,07.30.00,07.30.00,730.0,94
21.21.00,06.09.00,80,22366,62.3,31639.8,28475.8,1371.1,05.50.00,05.50.00,296.0,81
21.48.00,06.10.00,84,4028,50.9,30158.1,25936.0,201.1,05.50.00,05.50.00,0.0,86
23.28.00,07.50.00,80,5072,26.6,30144.7,28135.1,201.0,07.30.00,07.30.00,108.0,100
23.40.00,06.02.00,84,10122,30.9,22933.3,21939.5,152.9,05.50.00,05.50.00,0.0,77
02.09.00,08.34.00,71,9566,30.3,23103.8,22333.6,154.0,09.00.00,09.00.00,232.0,77
23.33.00,08.15.00,72,5519,30.6,31328.8,28926.9,208.9,07.00.00,07.00.00,78.0,100
22.47.00,06.10.00,76,4262,53.7,26617.4,22269.9,177.4,05.50.00,05.50.00,202.0,73
23.29.00,06.10.00,85,3865,46.3,24037.7,19871.2,160.3,06.00.00,06.00.00,0.0,71
23.11.00,06.20.00,95,3837,52.8,25744.7,21110.7,171.6,06.00.00,06.00.00,279.0,72
23.08.00,06.21.00,96,4237,45.2,25999.7,23399.7,173.3,06.00.00,06.00.00,0.0,77
22.33.00,06.19.00,97,5012,40.6,27955.7,26837.5,186.4,05.50.00,05.50.00,0.0,86
23.17.00,07.00.00,94,2281,28.8,27774.0,26755.6,185.2,07.00.00,07.00.00,0.0,94
22.41.00,08.01.00,90,2764,36.6,33594.3,29898.9,2687.5,07.00.00,07.00.00,830.0,100
22.25.00,06.10.00,86,10333,28.2,27915.1,26519.3,186.1,05.50.00,05.50.00,430.0,94
22.12.00,06.20.00,89,4822,32.9,29254.5,28181.8,195.0,05.50.00,05.50.00,0.0,95
22.55.00,06.20.00,91,5267,21.7,26706.1,24658.6,178.0,05.50.00,05.50.00,166.0,94
22.51.00,06.10.00,96,6322,41.4,26354.0,24772.8,175.7,05.50.00,05.50.00,0.0,80
22.25.00,05.52.00,95,4289,40.4,26826.9,25843.2,178.8,05.50.00,05.50.00,0.0,82
23.17.00,07.51.00,76,531,40.2,30852.8,28590.2,205.7,07.50.00,07.50.00,494.0,94
22.54.00,06.10.00,83,6333,50.1,26162.9,23197.7,174.4,05.50.00,05.50.00,0.0,73
22.33.00,06.10.00,90,4801,51.5,27404.8,25395.2,182.7,05.50.00,05.50.00,77.0,76
22.42.00,06.10.00,93,4366,50.8,26928.2,26748.7,179.5,05.50.00,05.50.00,68.0,75
22.00.00,06.21.00,96,5200,38.9,30100.7,25686.0,1505.0,05.50.00,05.50.00,164.0,93
23.37.00,07.57.00,88,5364,37.3,29993.9,27394.4,200.0,05.50.00,05.50.00,0.0,94
00.35.00,08.41.00,84,2830,29.2,29160.9,28966.5,194.4,05.50.00,05.50.00,275.0,97
23.23.00,06.22.00,76,7118,44.1,25111.7,23772.4,167.4,05.50.00,05.50.00,0.0,74
23.38.00,06.30.00,84,2779,34.3,24737.6,23748.1,164.9,06.30.00,06.30.00,0.0,79
